"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Position sizing: contracts = ceil($1.00 / mean(entry_frame)), min 1. Pass 2 concentration cap: biggest single win <= 51% of net total P&L."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-09 18:46:55  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 2:35–2:40 PM  |  Optimal exit frame = 3:55–4:00 PM

DETAIL — one row per Friday (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-12,C,AMZN240712C00195000,195.0,REAL,2:35–2:40 PM,0.82,3:55–4:00 PM,0.05,-0.77,2,164.0,-154.0,False,
2024-07-19,C,AMZN240719C00180000,180.0,REAL,2:35–2:40 PM,2.33,3:55–4:00 PM,2.86,0.53,1,233.0,53.0,True,
2024-07-26,C,AMZN240726C00180000,180.0,REAL,2:35–2:40 PM,2.47,3:55–4:00 PM,2.132,-0.338,1,247.0,-33.8,False,
2024-08-02,C,AMZN240802C00165000,165.0,REAL,2:35–2:40 PM,2.824,3:55–4:00 PM,2.682,-0.142,1,282.4,-14.2,False,
2024-08-09,C,AMZN240809C00165000,165.0,REAL,2:35–2:40 PM,1.754,3:55–4:00 PM,2.004,0.25,1,175.4,25.0,True,
2024-08-16,C,AMZN240816C00175000,175.0,REAL,2:35–2:40 PM,2.462,3:55–4:00 PM,2.08,-0.382,1,246.2,-38.2,False,
2024-08-23,C,AMZN240823C00180000,180.0,REAL,2:35–2:40 PM,0.02,3:55–4:00 PM,0.01,-0.01,51,102.0,-51.0,False,
2024-08-30,C,AMZN240830C00175000,175.0,REAL,2:35–2:40 PM,1.248,3:55–4:00 PM,3.45,2.202,1,124.8,220.2,True,
2024-09-06,C,AMZN240906C00180000,180.0,REAL,2:35–2:40 PM,0.01,3:55–4:00 PM,0.01,0.0,101,101.0,0.0,False,
2024-09-13,C,AMZN240913C00185000,185.0,REAL,2:35–2:40 PM,1.908,3:55–4:00 PM,1.57,-0.338,1,190.8,-33.8,False,
2024-09-20,C,AMZN240920C00190000,190.0,REAL,2:35–2:40 PM,0.164,3:55–4:00 PM,1.308,1.144,7,114.8,800.8,True,
2024-09-27,C,AMZN240927C00190000,190.0,REAL,2:35–2:40 PM,0.012,3:55–4:00 PM,0.01,-0.002,84,100.8,-16.8,False,
2024-10-04,C,AMZN241004C00185000,185.0,REAL,2:35–2:40 PM,0.206,3:55–4:00 PM,1.392,1.186,5,103.0,593.0,True,
2024-10-11,C,AMZN241011C00185000,185.0,REAL,2:35–2:40 PM,4.115,3:55–4:00 PM,4.016,-0.099,1,411.5,-9.9,False,
2024-10-18,C,AMZN241018C00185000,185.0,REAL,2:35–2:40 PM,5.47,3:55–4:00 PM,3.998,-1.472,1,547.0,-147.2,False,
2024-10-25,C,AMZN241025C00190000,190.0,REAL,2:35–2:40 PM,0.024,3:55–4:00 PM,0.01,-0.014,42,100.8,-58.8,False,
2024-11-01,C,AMZN241101C00200000,200.0,REAL,2:35–2:40 PM,0.044,3:55–4:00 PM,0.01,-0.034,23,101.2,-78.2,False,
2024-11-08,C,AMZN241108C00210000,210.0,REAL,2:35–2:40 PM,0.09,3:55–4:00 PM,0.01,-0.08,12,108.0,-96.0,False,
2024-11-15,C,AMZN241115C00207500,207.5,REAL,2:35–2:40 PM,0.01,3:55–4:00 PM,0.01,0.0,101,101.0,0.0,False,
2024-11-22,C,AMZN241122C00200000,200.0,REAL,2:35–2:40 PM,0.02,3:55–4:00 PM,0.01,-0.01,50,100.0,-50.0,False,
2024-11-29,C,AMZN241129C00205000,205.0,REAL,2:35–2:40 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2024-12-06,C,AMZN241206C00220000,220.0,REAL,2:35–2:40 PM,5.04,3:55–4:00 PM,7.004,1.964,1,504.0,196.4,True,
2024-12-13,C,AMZN241213C00230000,230.0,REAL,2:35–2:40 PM,0.042,3:55–4:00 PM,0.01,-0.032,24,100.8,-76.8,False,
2024-12-20,C,AMZN241220C00220000,220.0,REAL,2:35–2:40 PM,5.4367,3:55–4:00 PM,4.958,-0.4787,1,543.67,-47.87,False,
2024-12-27,C,AMZN241227C00225000,225.0,REAL,2:35–2:40 PM,0.0325,3:55–4:00 PM,0.01,-0.0225,31,100.75,-69.75,False,
2025-01-03,C,AMZN250103C00222500,222.5,REAL,2:35–2:40 PM,1.946,3:55–4:00 PM,1.712,-0.234,1,194.6,-23.4,False,
2025-01-10,C,AMZN250110C00220000,220.0,REAL,2:35–2:40 PM,0.228,3:55–4:00 PM,0.01,-0.218,5,114.0,-109.0,False,
2025-01-17,C,AMZN250117C00225000,225.0,REAL,2:35–2:40 PM,0.836,3:55–4:00 PM,0.76,-0.076,2,167.2,-15.2,False,
2025-01-24,C,AMZN250124C00235000,235.0,REAL,2:35–2:40 PM,0.044,3:55–4:00 PM,0.102,0.058,23,101.2,133.4,True,
2025-01-31,C,AMZN250131C00237500,237.5,REAL,2:35–2:40 PM,0.954,3:55–4:00 PM,0.284,-0.67,2,190.8,-134.0,False,
2025-02-07,C,AMZN250207C00232500,232.5,REAL,2:35–2:40 PM,0.0225,3:55–4:00 PM,0.01,-0.0125,45,101.25,-56.25,False,
2025-02-14,C,AMZN250214C00230000,230.0,REAL,2:35–2:40 PM,0.06,3:55–4:00 PM,0.012,-0.048,17,102.0,-81.6,False,
2025-02-21,C,AMZN250221C00222500,222.5,REAL,2:35–2:40 PM,0.01,3:55–4:00 PM,0.01,0.0,101,101.0,0.0,False,
2025-02-28,C,AMZN250228C00207500,207.5,REAL,2:35–2:40 PM,1.384,3:55–4:00 PM,5.13,3.746,1,138.4,374.6,True,
2025-03-07,C,AMZN250307C00200000,200.0,REAL,2:35–2:40 PM,0.792,3:55–4:00 PM,0.074,-0.718,2,158.4,-143.6,False,
2025-03-14,C,AMZN250314C00195000,195.0,REAL,2:35–2:40 PM,2.63,3:55–4:00 PM,3.1675,0.5375,1,263.0,53.75,True,
2025-03-21,C,AMZN250321C00195000,195.0,REAL,2:35–2:40 PM,0.856,3:55–4:00 PM,1.08,0.224,2,171.2,44.8,True,
