"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:24:51  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:33–9:38 AM  |  Optimal exit frame = 3:09–3:35 PM

DETAIL — one row per session (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,P,AMD240719P00165000,165.0,REAL,9:33–9:38 AM,4.618,3:09–3:35 PM,10.534,5.916,1,461.8,591.6,True,1DTE (expiry Fri 07-19)
2024-07-25,P,AMD240726P00145000,145.0,REAL,9:33–9:38 AM,3.602,3:09–3:35 PM,5.3227,1.7207,1,360.2,172.07,True,1DTE (expiry Fri 07-26)
2024-08-01,P,AMD240802P00145000,145.0,REAL,9:33–9:38 AM,2.262,3:09–3:35 PM,13.6575,11.3955,1,226.2,1139.55,True,1DTE (expiry Fri 08-02)
2024-08-08,P,AMD240809P00130000,130.0,REAL,9:33–9:38 AM,2.094,3:09–3:35 PM,0.3783,-1.7157,1,209.4,-171.57,False,1DTE (expiry Fri 08-09)
2024-08-15,P,AMD240816P00140000,140.0,REAL,9:33–9:38 AM,0.796,3:09–3:35 PM,0.0836,-0.7124,2,159.2,-142.49,False,1DTE (expiry Fri 08-16)
2024-08-22,P,AMD240823P00160000,160.0,REAL,9:33–9:38 AM,2.758,3:09–3:35 PM,8.3967,5.6387,1,275.8,563.87,True,1DTE (expiry Fri 08-23)
2024-08-29,P,AMD240830P00145000,145.0,REAL,9:33–9:38 AM,1.042,3:09–3:35 PM,1.674,0.632,1,104.2,63.2,True,1DTE (expiry Fri 08-30)
2024-09-05,P,AMD240906P00140000,140.0,REAL,9:33–9:38 AM,2.644,3:09–3:35 PM,2.5048,-0.1392,1,264.4,-13.92,False,1DTE (expiry Fri 09-06)
2024-09-12,P,AMD240913P00150000,150.0,REAL,9:33–9:38 AM,2.462,3:09–3:35 PM,1.2635,-1.1985,1,246.2,-119.85,False,1DTE (expiry Fri 09-13)
2024-09-19,P,AMD240920P00155000,155.0,REAL,9:33–9:38 AM,2.992,3:09–3:35 PM,0.8127,-2.1793,1,299.2,-217.93,False,1DTE (expiry Fri 09-20)
2024-09-26,P,AMD240927P00165000,165.0,REAL,9:33–9:38 AM,0.89,3:09–3:35 PM,0.575,-0.315,2,178.0,-63.0,False,1DTE (expiry Fri 09-27)
2024-10-03,P,AMD241004P00160000,160.0,REAL,9:33–9:38 AM,1.2,3:09–3:35 PM,0.9804,-0.2196,1,120.0,-21.96,False,1DTE (expiry Fri 10-04)
2024-10-10,P,AMD241011P00170000,170.0,REAL,9:33–9:38 AM,3.474,3:09–3:35 PM,7.4811,4.0071,1,347.4,400.71,True,1DTE (expiry Fri 10-11)
2024-10-17,P,AMD241018P00160000,160.0,REAL,9:33–9:38 AM,2.652,3:09–3:35 PM,3.162,0.51,1,265.2,51.0,True,1DTE (expiry Fri 10-18)
2024-10-24,P,AMD241025P00155000,155.0,REAL,9:33–9:38 AM,1.862,3:09–3:35 PM,1.9159,0.0539,1,186.2,5.39,True,1DTE (expiry Fri 10-25)
2024-10-31,P,AMD241101P00150000,150.0,REAL,9:33–9:38 AM,4.7,3:09–3:35 PM,5.9573,1.2573,1,470.0,125.73,True,1DTE (expiry Fri 11-01)
2024-11-07,P,AMD241108P00145000,145.0,REAL,9:33–9:38 AM,0.87,3:09–3:35 PM,0.1225,-0.7475,2,174.0,-149.5,False,1DTE (expiry Fri 11-08)
2024-11-14,P,AMD241115P00140000,140.0,REAL,9:33–9:38 AM,1.132,3:09–3:35 PM,1.6292,0.4972,1,113.2,49.72,True,1DTE (expiry Fri 11-15)
2024-11-21,P,AMD241122P00140000,140.0,REAL,9:33–9:38 AM,2.582,3:09–3:35 PM,2.63,0.048,1,258.2,4.8,True,1DTE (expiry Fri 11-22)
2024-11-28,P,,0.0,MISS,9:33–9:38 AM,,3:09–3:35 PM,,,,,,,missing data (entry-day market holiday)
2024-12-05,P,AMD241206P00145000,145.0,REAL,9:33–9:38 AM,2.4925,3:09–3:35 PM,4.255,1.7625,1,249.25,176.25,True,1DTE (expiry Fri 12-06)
2024-12-12,P,AMD241213P00130000,130.0,REAL,9:33–9:38 AM,1.368,3:09–3:35 PM,0.9436,-0.4244,1,136.8,-42.44,False,1DTE (expiry Fri 12-13)
2024-12-19,P,AMD241220P00125000,125.0,REAL,9:33–9:38 AM,3.47,3:09–3:35 PM,5.8082,2.3382,1,347.0,233.82,True,1DTE (expiry Fri 12-20)
2024-12-26,P,AMD241227P00125000,125.0,REAL,9:33–9:38 AM,0.752,3:09–3:35 PM,0.5904,-0.1616,2,150.4,-32.32,False,1DTE (expiry Fri 12-27)
2025-01-02,P,AMD250103P00120000,120.0,REAL,9:33–9:38 AM,0.752,3:09–3:35 PM,0.755,0.003,2,150.4,0.6,True,1DTE (expiry Fri 01-03)
2025-01-09,P,,0.0,MISS,9:33–9:38 AM,,3:09–3:35 PM,,,,,,,missing data (no entry-day stock bars)
