"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:24:07  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 10:43–10:48 AM  |  Optimal exit frame = 1:05–1:12 PM

DETAIL — one row per session (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,P,MSFT240719P00445000,445.0,REAL,10:43–10:48 AM,7.9333,1:05–1:12 PM,8.97,1.0367,1,793.33,103.67,True,1DTE (expiry Fri 07-19)
2024-07-25,P,MSFT240726P00430000,430.0,REAL,10:43–10:48 AM,7.0325,1:05–1:12 PM,4.93,-2.1025,1,703.25,-210.25,False,1DTE (expiry Fri 07-26)
2024-08-01,P,MSFT240802P00420000,420.0,REAL,10:43–10:48 AM,1.822,1:05–1:12 PM,4.794,2.972,1,182.2,297.2,True,1DTE (expiry Fri 08-02)
2024-08-08,P,MSFT240809P00402500,402.5,REAL,10:43–10:48 AM,2.1233,1:05–1:12 PM,3.39,1.2667,1,212.33,126.67,True,1DTE (expiry Fri 08-09)
2024-08-15,P,MSFT240816P00420000,420.0,REAL,10:43–10:48 AM,2.188,1:05–1:12 PM,2.546,0.358,1,218.8,35.8,True,1DTE (expiry Fri 08-16)
2024-08-22,P,MSFT240823P00425000,425.0,REAL,10:43–10:48 AM,3.7275,1:05–1:12 PM,8.2167,4.4892,1,372.75,448.92,True,1DTE (expiry Fri 08-23)
2024-08-29,P,MSFT240830P00415000,415.0,REAL,10:43–10:48 AM,0.652,1:05–1:12 PM,0.8586,0.2066,2,130.4,41.31,True,1DTE (expiry Fri 08-30)
2024-09-05,P,MSFT240906P00407500,407.5,REAL,10:43–10:48 AM,1.44,1:05–1:12 PM,3.078,1.638,1,144.0,163.8,True,1DTE (expiry Fri 09-06)
2024-09-12,P,MSFT240913P00422500,422.5,REAL,10:43–10:48 AM,3.4,1:05–1:12 PM,1.835,-1.565,1,340.0,-156.5,False,1DTE (expiry Fri 09-13)
2024-09-19,P,MSFT240920P00440000,440.0,REAL,10:43–10:48 AM,2.8975,1:05–1:12 PM,2.86,-0.0375,1,289.75,-3.75,False,1DTE (expiry Fri 09-20)
2024-09-26,P,MSFT240927P00432500,432.5,REAL,10:43–10:48 AM,2.79,1:05–1:12 PM,3.45,0.66,1,279.0,66.0,True,1DTE (expiry Fri 09-27)
2024-10-03,P,MSFT241004P00417500,417.5,REAL,10:43–10:48 AM,3.168,1:05–1:12 PM,4.305,1.137,1,316.8,113.7,True,1DTE (expiry Fri 10-04)
