"# Backtest method: Thursday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Thursday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:24:25  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:30–9:35 AM  |  Optimal exit frame = 9:44–9:49 AM

DETAIL — one row per session (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-18,P,AMZN240719P00190000,190.0,REAL,9:30–9:35 AM,2.49,9:44–9:49 AM,3.26,0.77,1,249.0,77.0,True,1DTE (expiry Fri 07-19)
2024-07-25,P,AMZN240726P00185000,185.0,REAL,9:30–9:35 AM,3.352,9:44–9:49 AM,4.782,1.43,1,335.2,143.0,True,1DTE (expiry Fri 07-26)
2024-08-01,P,AMZN240802P00190000,190.0,REAL,9:30–9:35 AM,6.918,9:44–9:49 AM,6.352,-0.566,1,691.8,-56.6,False,1DTE (expiry Fri 08-02)
2024-08-08,P,AMZN240809P00165000,165.0,REAL,9:30–9:35 AM,2.186,9:44–9:49 AM,2.59,0.404,1,218.6,40.4,True,1DTE (expiry Fri 08-09)
2024-08-15,P,AMZN240816P00175000,175.0,REAL,9:30–9:35 AM,1.538,9:44–9:49 AM,1.36,-0.178,1,153.8,-17.8,False,1DTE (expiry Fri 08-16)
2024-08-22,P,AMZN240823P00180000,180.0,REAL,9:30–9:35 AM,1.162,9:44–9:49 AM,0.992,-0.17,1,116.2,-17.0,False,1DTE (expiry Fri 08-23)
2024-08-29,P,AMZN240830P00170000,170.0,REAL,9:30–9:35 AM,0.46,9:44–9:49 AM,0.458,-0.002,3,138.0,-0.6,False,1DTE (expiry Fri 08-30)
2024-09-05,P,AMZN240906P00175000,175.0,REAL,9:30–9:35 AM,1.144,9:44–9:49 AM,0.798,-0.346,1,114.4,-34.6,False,1DTE (expiry Fri 09-06)
2024-09-12,P,AMZN240913P00185000,185.0,REAL,9:30–9:35 AM,1.434,9:44–9:49 AM,1.332,-0.102,1,143.4,-10.2,False,1DTE (expiry Fri 09-13)
2024-09-19,P,AMZN240920P00190000,190.0,REAL,9:30–9:35 AM,1.502,9:44–9:49 AM,1.422,-0.08,1,150.2,-8.0,False,1DTE (expiry Fri 09-20)
2024-09-26,P,AMZN240927P00195000,195.0,REAL,9:30–9:35 AM,2.304,9:44–9:49 AM,2.684,0.38,1,230.4,38.0,True,1DTE (expiry Fri 09-27)
2024-10-03,P,AMZN241004P00180000,180.0,REAL,9:30–9:35 AM,1.05,9:44–9:49 AM,0.71,-0.34,1,105.0,-34.0,False,1DTE (expiry Fri 10-04)
2024-10-10,P,AMZN241011P00185000,185.0,REAL,9:30–9:35 AM,0.658,9:44–9:49 AM,0.664,0.006,2,131.6,1.2,True,1DTE (expiry Fri 10-11)
2024-10-17,P,AMZN241018P00190000,190.0,REAL,9:30–9:35 AM,2.378,9:44–9:49 AM,3.1733,0.7953,1,237.8,79.53,True,1DTE (expiry Fri 10-18)
2024-10-24,P,AMZN241025P00185000,185.0,REAL,9:30–9:35 AM,1.764,9:44–9:49 AM,1.19,-0.574,1,176.4,-57.4,False,1DTE (expiry Fri 10-25)
2024-10-31,P,AMZN241101P00190000,190.0,REAL,9:30–9:35 AM,6.4,9:44–9:49 AM,6.53,0.13,1,640.0,13.0,True,1DTE (expiry Fri 11-01)
2024-11-07,P,AMZN241108P00207500,207.5,REAL,9:30–9:35 AM,1.502,9:44–9:49 AM,0.868,-0.634,1,150.2,-63.4,False,1DTE (expiry Fri 11-08)
2024-11-14,P,AMZN241115P00215000,215.0,REAL,9:30–9:35 AM,1.622,9:44–9:49 AM,2.928,1.306,1,162.2,130.6,True,1DTE (expiry Fri 11-15)
2024-11-21,P,AMZN241122P00202500,202.5,REAL,9:30–9:35 AM,2.716,9:44–9:49 AM,2.904,0.188,1,271.6,18.8,True,1DTE (expiry Fri 11-22)
2024-11-28,P,,0.0,MISS,9:30–9:35 AM,,9:44–9:49 AM,,,,,,,missing data (entry-day market holiday)
2024-12-05,P,AMZN241206P00217500,217.5,REAL,9:30–9:35 AM,1.562,9:44–9:49 AM,1.16,-0.402,1,156.2,-40.2,False,1DTE (expiry Fri 12-06)
2024-12-12,P,AMZN241213P00230000,230.0,REAL,9:30–9:35 AM,1.8933,9:44–9:49 AM,2.494,0.6007,1,189.33,60.07,True,1DTE (expiry Fri 12-13)
2024-12-19,P,AMZN241220P00225000,225.0,REAL,9:30–9:35 AM,2.328,9:44–9:49 AM,2.612,0.284,1,232.8,28.4,True,1DTE (expiry Fri 12-20)
